Clause,label
Exhibit 10,Collaboration Agreement
Exhibit 4,Supply Agreement
1                                                                    EXHIBIT 10,Agency Agreement
"CELEBRITY ENDORSEMENT AGREEMENT     THIS AGREEMENT is made as of this March 14, 2012 but effective as of March 1, 2012 (""Effective Date"") by and between Bizzingo, Inc",Endorsement Agreement
Exhibit 10,Distributor Agreement
"JOINT FILING AGREEMENT

Pursuant to and in accordance with the Securities Exchange Act of 1934, as amended (the ""Exchange Act""), and the rules and regulations thereunder, each party hereto hereby agrees to the joint filing, on behalf of each of them, of any filing required by such party under Section 13 or Section 16 of the Exchange Act or any rule or regulation thereunder (including any amendment, restatement, supplement, and/or exhibit thereto) with the Securities and Exchange Commission (and, if such security is registered on a national securities exchange, also with the exchange), and further agrees to the filing, furnishing, and/or incorporation by reference of this agreement as an exhibit thereto",Joint Filing Agreement
"Exhibit (k)(1)

SERVICE AGREEMENT

FOR

TRANSFER AGENT SERVICES

TO

BLACKSTONE / GSO LONG-SHORT CREDIT INCOME FUND

Rev",Service Agreement
Exhibit 10,Maintenance Agreement
Exhibit 10,Business Hosting Agreement
Exhibit 1,Agency Agreement
Exhibit 1,Agency Agreement
"1

                                                                 EXHIBIT 10",Licensing And Web Site Hosting Agreement
"VIRTUAL ITEM PROCESSING SYSTEMS, INC",Outsourcing Agreement
"VISP WEB SITE BUILDING AND HOSTING AGREEMENT

This Agreement is made on this 12th day of May 2003 by and between YourNetPlus",Visp Web Site Building And Hosting Agreement
EXHIBIT 99,Agency Agreement
Exhibit 10,Joint Venture Agreement
EXHIBIT 10,Reseller Agreement
"BW-3 FRANCHISE SYSTEMS, INC",Franchise Agreement
"QuickLinks -- Click here to rapidly navigate through this document

    EXHIBIT 10",Sponsorship Agreement
Exhibit 10,Collaboration Agreement
Exhibit 10,Maintenance Agreement
"SCHEDULE B

Customization Schedule

This Customization Schedule is attached to the Software License, Customization and Maintenance Agreement (the ""Agreement"") executed by and between Bank of America, N",Maintenance Agreement
"SCHEDULE TO Software License, Customization and Maintenance Agreement    Supplier Name:  Cardlytics, Inc",Maintenance Agreement
"[***] = CONFIDENTIAL TREATMENT REQUESTED

SCHEDULE A Product License Schedule FORM  This Product License Schedule is issued pursuant to the Software License, Customization and Maintenance Agreement (the ""Agreement"") executed by and between Bank of America, N",Maintenance Agreement
Exhibit 10,Outsourcing Agreement
"Exhibit 99(h)(3) WHOLESALE MARKETING AGREEMENT THIS AGREEMENT is entered into effective as of the 24t h day of August 2018, by and among ALPS Distributors, Inc",Marketing Agreement
1                                                                     Exhibit 10,Web Site Hosting Agreement
Exhibit 10,Intellectual Property Agreement
Exhibit 10,Collaboration Agreement
"[*] = CERTAIN CONFIDENTIAL INFORMATION CONTAINED IN THIS DOCUMENT, MARKED BY BRACKETS, HAS BEEN OMITTED AND FILED SEPARATELY WITH THE SECURITIES AND EXCHANGE COMMISSION PURSUANT TO RULE 24B-2 OF THE SECURITIES EXCHANGE ACT OF 1934, AS AMENDED",First Amend To Supply And Manufacturing Agreement
"CONFIDENTIAL TREATMENT - REDACTED VERSION

                                   CORIO INC",License And Hosting Agreement
Exhibit 10,Transportation Contract
Exhibit 10,Cooperation Agreement
Exhibit 10,Strategic Alliance Agreement
Exhibit 10,Content License Agreement
Xi'an Zhonghong New Energy Technology Co,Cooperation Agreement
Exhibit 4,Strategic Alliance Agreement
Exhibit 6,Development Agreement
Exhibit 10,Development Agreement
Exhibit 10,Development Agreement
Exhibit 10,Amend No  To Manufacturing And Supply Agreement
"Execution Version Certain identified information has been excluded from the exhibit because it is both (i) not material and (ii) would likely cause competitive harm to the Company, if publicly disclosed",Development Agreement
EXHIBIT 10,Strategic Alliance Agreement
EXHIBIT 4,Consulting Agreement
1                                                                     EXHIBIT 10,License And Hosting Agreement
Exhibit 10,Affiliate Agreement
"CORPORATE SPONSORSHIP AGREEMENT

This agreement (the ""Agreement"") is entered into as of May 18, 2010, (the ""Effective Date"") by and between Phoenix Performance, LLC, 481  Schuylkill Road, Phoenixville, PA 19460 (""Vendor"") and Torvec Inc",Corporate Sponsorship Agreement
Ex 10,Servicing Agreement
Exhibit 10,Affiliate Agreement
EXHIBIT 10,Promotion Agreement
Exhibit 10,License Agreement
Exhibit 10,Content License Agreement
"Execution Copy

                       CO-BRANDING AND SERVICES AGREEMENT

         Co-Branding and Services Agreement, effective as of October 1, 1999 (this ""Agreement""), between RSL COM PrimeCall, Inc",Service Agreement
DIGITAL CINEMA DESTINATIONS CORP,Affiliate Agreement
"RESELLER AGREEMENT    This agreement (""Agreement"") dated as of January 11, 2011 (""Effective Date"") is between Diversinet Corp",Reseller Agreement
"Exhibit h(2)                               SPONSORSHIP AGREEMENT

         SPONSORSHIP AGREEMENT, dated as of February 4, 2005, by and between Domini Advisor Trust, a Massachusetts business trust (the ""Trust""), and Domini Social Investments LLC, a Massachusetts limited liability company (""Domini"" or the ""Sponsor"")",Sponsorship Agreement
Exhibit 10,Promotion Agreement
1                                                                    Exhibit 10,Outsourcing Agreement
Exhibit 10,Consulting Agreement
EXHIBIT 10,Sponsorship Agreement
Exhibit 10,Strategic Alliance Agreement
1                                                                     EXHIBIT 10,Transportation Services Agreement
"[FORM]

ONLINE HOSTING AGREEMENT

This Online Hosting Agreement (this ""Agreement"") is being entered into effective as of the 1st day of June, 1999 and is entered into by and between Diplomat Direct Marketing Corporation, a Delaware corporation (""Diplomat""), and Tadeo E-Commerce Corp",Online Hosting Agreement
EXHIBIT 10,Branding Agreement
"ENDORSEMENT AGREEMENT

THIS ENDORSEMENT AGREEMENT (the ""Agreement"") is dated as of this 14th day of November 2017 (""Effective Date""), by and between Eco Science Solutions, Inc",Endorsement Agreement
"SPONSORSHIP AGREEMENT This agreement (the ""Agreement"") is made effective this 1st day of April, 2018 (""Effective Date"") between Fruit of Life Productions LLC, (""Promoter"") and Eco Science Solutions, Inc",Sponsorship Agreement
EXHIBIT 10,Branding Agreement
Exhibit 4,Reseller Agreement
Exhibit 10,Outsourcing Agreement
"MANUFACTURING AGREEMENT     This Manufacturing Agreement (the ""Agreement"") is effective February ____, 2017 (the ""Effective Date""),   BETWEEN:  ELECTRAMECCANICA VEHICLES CORP",Manufacturing Agreement
Exhibit 10,Cooperation Agreement
Exhibit 10,Development Agreement
Exhibit 10,Branding Agreement
"Consulting and Product Development Agreement

ARTICLE 1 -- PREAMBLE This Consulting and Licensing Agreement (""Agreement"") is entered into this 1st day of September 2016 (""Effective Date"") by and between Emerald Health Sciences Inc",Development Agreement
Exhibit 4,Dr Gaetano Morello Nd Inc
Exhibit 10,Marketing Agreement
Exhibit 10,Strategic Alliance Agreement
Exhibit 10,Transportation Agreement
EXHIBIT 10,Transportation Contract
Exhibit 10,Distributor Agreement
Exhibit 10,Strategic Alliance Agreement
EXHIBIT 10,Distributor Agreement
Exhibit 10,Development Agreement
Exhibit 10,Content License Agreement
EXHIBIT 10,Distributor Agreement
Exhibit 10,Promotion Agreement
Exhibit 28 (h) (1) (a) under Form N‐1A Exhibit 99 under item 601/REG,Services Agreement
"AMENDMENT TO SERVICES AGREEMENT

This AMENDMENT TO SERVICES AGREEMENT, dated and effective as of March 30, 2009 (this ""Amendment""), is made between FEDERATED INVESTMENT MANAGEMENT COMPANY, a Delaware statutory trust (the ""Adviser""), and FEDERATED ADVISORY SERVICES COMPANY, a Delaware statutory trust (""FASC"")",Amendment
"LIMITED POWER OF ATTORNEY

KNOW ALL MEN BY THESE PRESENTS, dated as of January 1, 2004, that FEDERATED INVESTMENT MANAGEMENT COMPANY, a statutory trust duly organized under the laws of the State of Delaware (the ""Adviser""), does hereby nominate, constitute and appoint FEDERATED ADVISORY SERVICES COMPANY, a statutory trust duly organized under the laws of the State of Delaware (""FASC""), to act hereunder as the true and lawful agent and attorney-in-fact of the Adviser, acting on behalf of each of the funds or accounts for which Adviser acts as investment adviser or subadviser shown on Schedule 1 attached hereto and incorporated by reference herein (each such fund or account being hereinafter referred to as a ""Fund"" and collectively as the ""Funds""), for the specific purpose of executing and delivering all such agreements, instruments, contracts, assignments, bond powers, stock powers, transfer instructions, receipts, waivers, consents and other documents, and performing all such acts, as Adviser, or FASC acting as agent for the Adviser pursuant to the Services Agreement dated as of January 1, 2004 between the Adviser and FASC (such agreement, as may be amended, supplemented or otherwise modified from time to time is hereinafter referred to as the ""Services Agreement""), may deem necessary or reasonably desirable, related to the acquisition, disposition and/or reinvestment of the funds and assets of a Fund in accordance with Adviser's supervision of the investment, sale and reinvestment of the funds and assets of each Fund pursuant to the authority granted to the Adviser as investment adviser or subadviser of each Fund under the Adviser's investment advisory or subadvisory contract for such Fund (such investment advisory or subadvisory contract, as may be amended, supplemented or otherwise modified from time to time is hereinafter referred to as the ""Investment Advisory Contract"")",Powerof
"SECOND AMENDMENT TO SERVICES AGREEMENT This SECOND AMENDMENT TO SERVICES AGREEMENT, dated and effective as of March 1, 2016, (this ""Second Amendment""), is made between FEDERATED INVESTMENT MANAGEMENT COMPANY, a Delaware statutory trust (the ""Adviser""), and FEDERATED ADVISORY SERVICES COMPANY, a Delaware statutory trust (""FASC"")",Secondamendment
Exhibit 10,Outsourcing Agreement
"[ * ] = Certain confidential information contained in this document, marked by brackets, has been omitted and filed separately with the Securities and Exchange Commission pursuant to Rule 406 of the Securities Act of 1933, as amended",Collaboration Agreement
EXHIBIT 10,Intellectual Property Agreement
Exhibit 10,Supply Agreement
Exhibit 10,Collaboration Agreement
"By Client: /s/ Natalija Tunevic

Website Design, Development and Hosting Agreement

This Website Design, Development and Hosting Agreement the (""Agreement"") is entered into on January 11, 2018 by and between Natalija Tunevic, director of FreeCook (hereinafter referred to as ""Client"") and Mitchell Vitalis, director of Mitchell's Web Advance, PLC (hereinafter referred to as ""Company"")",Hosting Agreement
EXHIBIT 10,Sponsorship Agreement
Exhibit 99,Strategic Alliance Agreement
EXHIBIT 10,Development Agreement
"CONTENT DISTRIBUTION AND LICENSE AGREEMENT   Deal Terms   Licensed Program/ Film or Video Inevitable ""Licensed Rights"" to ConvergTV and ConvergTV Channels and/or Distribution Outlets x All, including but not limited to: xSimultaneous Internet Streaming x OTT Television x Internet Protocol Television x Radio, short wave, microwave, fiber optic x Alternative, secondary and specialty distribution x Stored as VOD, Content Distribution Networks/Company Servers x Full Television Broadcast Rights: x Free: Terrestrial, Cable, Satellite x Pay: Terrestrial, Cable, Satellite x Direct Satellite IP Distribution Systems Licensed Territory x Worldwide ¨ Other: _______________________________________________ License Term Perpetual, unlimited runs x Other: 2 years Commencing: November 15, 2012 Run Dates Within ConvergTV determined parameters",Content License Agreement
EXHIBIT 10,Distributor Agreement
Exhibit 10,Fusion
Exhibit 10,Sponsorship Agreement
EXHIBIT 10,Web Hosting Agreement
"Exhibit A

JOINT FILING AGREEMENT

Pursuant to and in accordance with the Securities Exchange Act of 1934, as amended, and the rules and regulations thereunder (the ""Exchange Act"") the undersigned hereby agree to the joint filing of Clarus IV-A, L",Joint Filing Agreement
"Table of Contents

EXECUTION VERSION

Exhibit 2",Intellectual Property Agreement
Exhibit 6,Distributor Agreement
"STRATEGIC ALLIANCE AGREEMENT This Strategic Alliance Agreement (this ""Agreement"") is made and entered into as of May 17, 2016, (the ""Effective Date"") by and between Giggles N' Hugs, Inc",Strategic Alliance Agreement
EXHIBIT 10,Content License Agreement
Exhibit 10,Consulting Agreement
Exhibit 10,Content License Agreement
AMENDMENT NO,Content License Agreement
AMENDMENT NO,Content License Agreement
AMENDMENT NO,Content License Agreement
"Promotion Agreement Between                     PageMaster Corporation and Go Call, Inc",Promotion Agreement
Exhibit 10,Strategic Alliance Agreement
Exhibit 10,Franchise Agreement
"CONFIDENTIAL

  PSiTECHCORPORATION   WEBSITE CONTENT LICENSE AGREEMENT     This Content License Agreement (""Agreement""), dated as of Feb 10, 2014 (the ""Effective Date""), is by and between PSiTech Corporation, a BVI Corporation, with offices located at 303, 3rdFl, St",Content License Agreement
Exhibit 10,License Agreement
Exhibit 10,Service Agreement
EXHIBIT 10,Transportation Contract
EXHIBIT 10,Supply Agreement
EXHIBIT 10,Endorsement Agreement
EXHIBIT 10,Endorsement Agreement
Exhibit 10,Intellectual Property Agreement Between Sony Electronics Inc And Gsi Technology Inc
"TREATMENT                                                        WITH RESPECT TO CERTAIN                                                        PORTIONS OF THIS                                                        AGREEMENT ACCORDINGLY,                                                        CERTAIN PORTIONS HAVE                                                        BEEN REDACTED

                                                                    Exhibit 10",Sponsorship Agreement
"EXHIBIT 4                                 AFFILIATE AGREEMENT                               -------------------

Physician Sales & Service, Inc",Affiliate Agreement
Exhibit 10,Orderly Marketing Agreement
EXHIBIT 10,Sponsorship And Development Agreement
Exhibit 10,Development Agreement
Exhibit 10,Cooperation Agreement
"WALABOT-HOME RESELLER AGREEMENT This Walabot-HOME Reseller Agreement (""Agreement"") is made and entered into as of this 31 day of July 2019 (""Effective Date"") by and between Vayyar Imaging Ltd",Reseller Agreement
EXHIBIT 10,Branding Agreement
EXHIBIT 10,Hosting And Management Agreement
[INITIALS ILLEGIBLE]                                        [INITIALS ILLEGIBLE]       20,Escrow Agreement
Exhibit 10,Sales Marketing Distribution And Supply Agreement
Exhibit 10,Maintenance Agreement
Exhibit 10,Intellectual Property Agreement
Exhibit 10,Trademark License Agreement
Exhibit 10,Development Agreement
EXHIBIT 10,Endorsement Agreement
"FRANCHISE AGREEMENT   HOMEWOOD SUITES BY HILTON STRATFORD   (Stratford, Connecticut)









  TABLE OF CONTENTS   1",Franchise Agreement
COOPERATION AGREEMENT     made by and between     HPIL ENERGYTECH Inc,Cooperation Agreement
"PHOTO RETOUCHING OUTSOURCING AGREEMENT

Between: DGT Corp",Outsourcing Agreement
"SPONSORSHIP AGREEMENT

         THIS SPONSORSHIP AGREEMENT (""Agreement"") is made and entered into as of this 1st day of January, 1997, by and between HYDRON TECHNOLOGIES, INC",Sponsorship Agreement
"1

                   EXCLUSIVE DISTRIBUTOR AGREEMENT

     EXCLUSIVE DISTRIBUTOR AGREEMENT (""Agreement"") dated as April 15, 1994 by and between IMRS OPERATIONS INC",Exclusive Distributor Agreement
Exhibit 10,Development Agreement
Exhibit 7,Strategic Alliance Agreement
Exhibit 10,Content License Agreement
"CONTENT LICENSE AGREEMENT

THIS CONTENT LICENSE AGREEMENT (this ""Agreement""), dated as of December 21, 2015 (the ""Effective Date""), is entered into between Beijing Sun Seven Stars Culture Development Limited, a P",Content License Agreement
Exhibit 10,Cooperation Agreement On Mobile Game Business
"Exhibit 1

Execution Copy

JOINT VENTURE AGREEMENT

BETWEEN

TATE & LYLE FERMENTATION PRODUCTS LTD",Joint Venture Agreement
"MAINTENANCE AGREEMENT

        BETWEEN

        XIMAGE

          AND

SAGEM S",Maintenance Agreement
EXHIBIT 10,Distributor Agreement
CERTAIN IDENTIFIED INFORMATION HAS BEEN EXCLUDED FROM THIS EXHIBIT BECAUSE IT IS NOT MATERIAL AND WOULD LIKELY CAUSE COMPETITIVE HARM TO THE REGISTRANT IF PUBLICLY DISCLOSED,Promotion Agreement
Exhibit 10,Joint Venture Agreement
Exhibit 10,Outsourcing Agreement
"[Confidential Treatment Requested]

                     Exhibit 10",Branding Agreement
Exhibit 10,Intellectual Property Agreement
EXHIBIT 10,Software Hosting Agreement
Exhibit 10,Manufacturing Agreement
Exhibit 10,Distributor Agreement
Exhibit 10,Collaboration Agreement
"DISTRIBUTION AND SERVICES AGREEMENT January 18, 2020 This is to confirm that, in consideration of the agreements hereinafter contained, the undersigned, the Integrity Short Term Government Fund, (the ""Fund""), an open-end, diversified, management investment company organized as a series of The Integrity Funds, a Delaware statutory trust, has agreed that Integrity Funds Distributor, LLC, (""Integrity""), shall be, for the period of this distribution agreement (the ""Agreement""), the principal underwriter of shares issued by the Fund, including such classes of shares as may now or hereafter be authorized (the ""Shares"")",Service Agreement
1                                                                    EXHIBIT 10,Branding Agreement
"Strategic Alliance Agreement   This agreement is made and entered into this 10th day of January, 2018 by and between Bravatek Solutions, Inc",Strategic Alliance Agreement
"FRANCHISE AGREEMENT

                              TABLE OF CONTENTS

I",Franchise Agreement
Exhibit 10,Supply Agreement
Exhibit 10,Strategic Alliance Agreement
1 *****Confidential Treatment has been requested for portions of this agreement,Branding Agreement
Exhibit 10,Strategic Alliance Agreement
Exhibit 99,Reseller Agreement
Exhibit 10,Sponsorship Agreement
* Confidential treatment has been requested for certain portions of this   exhibit,Sponsorship Agreement
"INTELLECTUAL PROPERTY AGREEMENT

This Intellectual Property Agreement (this ""Agreement"") is entered into in ShenZhen on February 08, 2007 between the following two parties:

Party A: JingWei HengTong Technology (ShenZhen) Co",Intellectual Property Agreement
Exhibit 10,Franchise Agreement
Exhibit 10,Strategic Alliance Agreement
EXHIBIT 10,Transportation Agreement
Exhibit 10,Promotion Agreement
Exhibit 10,Joint Venture Agreement
Exhibit 10,Consulting Agreement
Exhibit 4,Manufacturing Agreement
Exhibit 10,Intellectual Property Agreement
Exhibit 10,Part
"EXHIBIT 'B' This Exhibit B is entered into as of the 26th day of March 2020 by and between Kubient, Inc",Part
EXHIBIT 10,Branding Agreement
"JOINT DEVELOPMENT AND MARKETING AGREEMENT

BETWEEN

LECLANCHÉ SA

AND

OAK RIDGE ENERGY TECHNOLOGIES, INC",Joint Development And Marketing Agreement
Exhibit 10,Endorsement Agreement
Exhibit 10,Development Agreement
EXHIBIT 10,Distributor Agreement
Exhibit 10,Internet Channel Cooperation Agreement
Exhibit 10,Content License Agreement
"EXHIBIT B   MUTUAL TERMINATION AGREEMENT   THIS MUTUAL TERMINATION AGREEMENT (""Termination Agreement"") is made and entered into this day of , 2009, by and between Beijing SINA Internet Information Service Co",Content License Agreement
EXHIBIT 10,Endorsement Agreement
Exhibit 10,Strategic Alliance Agreement
EXHIBIT 10,Distributor Agreement
EXHIBIT 10,Affiliate Agreement
Exhibit 10,Development Agreement
1                                                                    Exhibit 10,Sponsorship Agreement
Exhibit 10,Supply Agreement
"SPONSORSHIP AGREEMENT     THIS SPONSORSHIP AGREEMENT (""Agreement"") is entered into and effective as of the date first written above (""Effective Date"") by  and among PEEK Investments LLC, a Delaware limited liability company (""Purchaser""), and each other party hereto identified on the signature  page(s) hereto (each, a ""Sponsor"")",Sponsorship Agreement
EXHIBIT 10,Marketing Agreement
EXHIBIT 10,Reseller Agreement
EXHIBIT 10,Distributor Agreement
Exhibit 10,Collaboration Agreement
Exhibit 99,Joint Filing Agreement
Exhibit 10,Master Development And Manufacturing Agreement
Exhibit 7,Strategic Alliance Agreement
Exhibit 10,Outsourcing Agreement
EXHIBIT 10,Endorsement Agreement
EXHIBIT 10,Transportation Services Agreement
Exhibit 10,Consulting Agreement
Exhibit 10,Supply Agreement
CERTAIN PORTIONS OF THIS DOCUMENT HAVE BEEN OMITTED PURSUANT TO A CONFIDENTIAL TREATMENT REQUEST,Cooperation Agreement
EXHIBIT 10,Sponsorship Agreement
"Exhibit 10(xiv)

MASTER SERVICES AGREEMENT Between RadialSpark, LLC and Clear Capital Page 1 of 10





THIS MASTER SERVICES AGREEMENT (""Agreement""), dated as of 09/24/2018 (the ""Effective Date""), is between Clear Capital (the ""Company"") and RadialSpark, LLC (the ""Contractor"")",Master Services Agreement
Exhibit 99,Remarketing Agreement
"EXHIBIT D JOINT FILING AGREEMENT MFA FINANCIAL, INC",Joint Filing Agreement
Exhibit 10,Collaborative Development And Commercialization Agreement
EXHIBIT 10,Promotion Agreement
"CONTENT LICENSE AGREEMENT



THIS AGREEMENT is made as of this 2nd day of June, 2008 by and among Digicorp, Inc",Content License Agreement
Exhibit 99,Joint Venture Agreement
Exhibit 10,Strategic Alliance Agreement
Exhibit 10,R Exclusive Agency And Marketing Agreement
Exhibit 10,Trademark License Agreement
"ENDORSEMENT AGREEMENT

         THIS AGREEMENT, made and entered into as of this 1st day of January, 2000, by and between MOSSIMO, INC",Endorsement Agreement
EXHIBIT 10,Endorsement Agreement
EXHIBIT 10,Branding Agreement
Exhibit 10,Transportation Services Agreement
"FRANCHISE AGREEMENT                                                   TABLE OF CONTENTS

1",Franchise Agreement
Exhibit 10,
EXHIBIT 10,Reseller Agreement Premier Addendum
"ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT   This ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT is entered into on July 26, 2013 (the ""Effective Date"") by and between Marine MP, LLC (""Lender""), for services of Arnold Schwarzenegger (""Endorser""), and Fitness Publications, Inc",Branding Agreement
1                                                                    Exhibit 10,Sponsorship Agreement
"Confidential Information has been omitted in places marked ""[***]"" and has been filed separately with the Securities and Exchange Commission",Endorsement Agreement
Exhibit 99,Distributor Agreement
1                                                                   EXHIBIT 10,Sponsorship Agreement
"Exhibit 1

JOINT FILING AGREEMENT

The undersigned hereby agree to jointly prepare and file with the applicable regulatory authorities this Schedule 13G or Schedule 13D and any future amendments thereto reporting each of the undersigned's ownership of securities of the issuer named herein, and hereby affirm that such Schedule 13G or Schedule 13D is being filed on behalf of each of the undersigned pursuant to and in accordance with the provisions of Rule 13d-1(k) under the Securities Exchange Act of 1934",Joint Filing Agreement
1                                                                    EXHIBIT 10,Branding Agreement
Exhibit 16,Distributor Agreement
"21

                                     EXHIBIT C                                  FORM OF SUBLICENSE

                                  [Form follows",Amendment
"DISTRIBUTOR AGREEMENT

                                    by and between

                        PEREGRINE/BRIDGE TRANSFER CORPORATION

                                         and

                                  NEON SYSTEMS, INC",New
"This Amendment is entered into effective October 1,1996 (""Amendment Date"") by and between NETGEAR, Inc",Amendment  To The Distribution Agreement
term under the Agreement will not be effective unless mutually agreed to in writing and signed by authorized representatives of both parties,Amendment To The Distributor Agreement Between Ingram Micro And Netgear
CONFIDENTIAL TREATMENT REQUEST * Portions denoted with an asterisk have been omitted and filed separately with   the Securities and Exchange Commission pursuant to a request for confidential   treatment,Distributor Agreement
CONFIDENTIAL TREATMENT HAS BEEN REQUESTED FOR PORTIONS OF THIS EXHIBIT,Sponsorship Agreement
EXHIBIT 10,Maintenance Agreement
Exhibit 10,Supply Agreement
EXHIBIT 10,Outsourcing Agreement
EXHIBIT 4,Outsourcing Agreement
Exhibit 10,Development Agreement
Exhibit 10,Trademark License Agreement
Exhibit 10,Joint Venture Agreement
Exhibit s,Remarketing Agreement
"Exhibit (8)(k)(k)

SERVICE AGREEMENT

This Agreement is entered into and effective as of the 1st day of January, 1998, by and between FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS COMPANY, INC",Service Agreement
Exhibit 10,Services Agreement
1                                                                   EXHIBIT 10,Outsourcing Agreement
Exhibit 10,Outsourcing Agreement
Exhibit 1,Agency Agreement
"EXHIBIT I TO SCHEDULE A (COMPLIANCE WITH UNITED STATES SECURITIES LAWS) AGENTS' CERTIFICATE In connection with the offer and sale in the United States of common shares (the ""Securities"") of Tribute Pharmaceuticals Inc",Agency Agreement
EXHIBIT 10,Reseller Agreement
Exhibit 10,Support And Maintenance Agreement
"925 West Georgia Street  Suite 1820  Vancouver, British Columbia  Canada V6C 3L2  Facsimile: 604-632-1730      PROMOTION AGREEMENT  (the ""Agreement"")    This agreement (the ""Agreement"") is made between Charity Tunes Inc",Promotion Agreement
